STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100325,2.77,0.0,10.75,0.0,77.0,19.0,86.5,67.5,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100326,2.90,0.0,10.88,0.0,77.0,19.0,86.5,67.5,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100327,3.02,0.0,11.00,0.0,77.0,19.0,86.5,67.5,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100328,3.13,0.0,11.11,0.0,77.1,19.0,86.6,67.6,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100329,3.26,0.0,11.24,0.0,77.1,19.0,86.6,67.6,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100330,3.39,0.0,11.37,0.0,77.1,18.9,86.6,67.7,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100331,3.52,0.0,11.50,0.0,77.2,18.9,86.6,67.7,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100401,0.15,0.0,11.65,0.0,77.2,18.9,86.7,67.8,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100402,0.30,0.0,11.80,0.0,77.2,18.9,86.7,67.8,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100403,0.46,0.0,11.96,0.0,77.3,18.8,86.7,67.9,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100404,0.62,0.0,12.12,0.0,77.3,18.8,86.7,67.9,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100405,0.79,0.0,12.29,0.0,77.4,18.7,86.7,68.0,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100406,0.96,0.0,12.46,0.0,77.4,18.7,86.7,68.0,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100407,1.14,0.0,12.64,0.0,77.4,18.7,86.8,68.1,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100408,1.33,0.0,12.83,0.0,77.5,18.6,86.8,68.2,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100409,1.52,0.0,13.02,0.0,77.5,18.5,86.8,68.2,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100410,1.71,0.0,13.21,0.0,77.6,18.5,86.8,68.3,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100411,1.90,0.0,13.40,0.0,77.6,18.4,86.8,68.4,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100412,2.09,0.0,13.59,0.0,77.6,18.4,86.8,68.5,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100413,2.28,0.0,13.78,0.0,77.7,18.3,86.8,68.5,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100414,2.46,0.0,13.96,0.0,77.7,18.2,86.9,68.6,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100415,2.64,0.0,14.14,0.0,77.8,18.2,86.9,68.7,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100416,2.84,0.0,14.34,0.0,77.8,18.1,86.9,68.8,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100417,3.04,0.0,14.54,0.0,77.9,18.0,86.9,68.9,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100418,3.24,0.0,14.74,0.0,77.9,18.0,86.9,68.9,2.1
